Team,MeanGoalPerGame
Arsenal,1.92105263157895
Bournemouth,1.47368421052632
Brighton,0.921052631578947
Burnley,1.18421052631579
Cardiff,0.894736842105263
Chelsea,1.65789473684211
CrystalPalace,1.34210526315789
Everton,1.42105263157895
Fulham,0.894736842105263
Huddersfield,0.578947368421053
Leicester,1.34210526315789
Liverpool,2.34210526315789
ManCity,2.5
ManUtd,1.71052631578947
Newcastle,1.10526315789474
Southampton,1.18421052631579
Tottenham,1.76315789473684
Watford,1.36842105263158
WestHam,1.36842105263158
Wolves,1.23684210526316
